ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
1,Fábio,Ferreira Vieira,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,438098,0.0
2,Gabriel,Fernando de Jesus,1,4,0,0,6,0.07,0,2,0,121,0,1,0.67,0.74,1.37,205651,0.7
3,Gabriel,dos Santos Magalhães,1,2,0,4,45,0.48,3,11,2,953,0,11,1.49,1.97,11.47,226597,4.1
4,Kai,Havertz,1,4,1,7,46,1.12,3,12,4,990,0,11,4.50,5.62,11.93,219847,4.2
5,Karl,Hein,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463748,0.0
6,Jurriën,Timber,1,2,1,0,24,0.31,2,7,0,683,0,8,0.36,0.67,7.86,445122,2.7
7,Jorge Luiz,Frello Filho,1,3,0,0,4,0.15,1,1,0,154,0,2,0.04,0.19,1.10,85955,1.3
8,Jakub,Kiwior,1,2,0,0,3,0.00,0,4,0,96,0,0,0.00,0.00,3.17,440854,0.8
9,Gabriel,Martinelli Silva,1,3,2,4,47,1.85,3,9,3,678,0,8,2.01,3.86,8.52,444145,4.3
10,Reiss,Nelson,9,3,1,1,20,0.59,1,5,1,282,0,2,0.93,1.52,3.32,200641,2.2
11,Eddie,Nketiah,7,4,0,0,12,0.39,1,8,0,488,0,6,1.02,1.41,7.90,205533,1.7
12,Ethan,Nwaneri,1,3,0,0,5,0.17,0,0,0,52,0,0,0.05,0.22,0.17,499175,1.0
13,Martin,Ødegaard,1,3,1,2,14,0.97,2,2,0,343,0,4,0.57,1.54,4.21,184029,3.5
14,Aaron,Ramsdale,17,1,0,2,26,0.01,1,19,0,810,0,9,0.00,0.01,20.33,225321,2.9
15,David,Raya Martin,1,1,0,6,42,0.01,3,12,0,990,0,11,0.00,0.01,11.93,154561,3.8
16,Declan,Rice,1,3,1,0,19,1.23,2,12,0,832,1,10,0.74,1.97,9.23,204480,1.9
17,Bukayo,Saka,1,3,7,10,67,3.42,3,9,3,820,0,10,2.46,5.88,8.24,223340,6.7
18,William,Saliba,1,2,0,0,23,0.57,3,10,0,839,1,10,0.00,0.57,9.29,462424,2.3
19,Emile,Smith Rowe,9,3,2,8,54,1.15,5,8,3,795,0,10,2.12,3.27,8.51,209289,4.9
20,Thomas,Partey,1,3,0,3,31,0.50,3,12,1,972,0,11,0.51,1.01,11.84,167199,2.8
21,Kieran,Tierney,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,192895,0.0
22,Tomiyasu,Takehiro,1,2,0,0,1,0.00,0,0,0,6,0,0,0.18,0.18,0.04,223723,1.0
23,Leandro,Trossard,1,3,1,3,31,0.40,2,8,2,586,1,7,1.56,1.96,5.29,116216,2.8
24,Benjamin,White,1,2,1,0,27,0.32,3,7,0,694,0,7,0.13,0.45,9.87,198869,3.0
25,Oleksandr,Zinchenko,1,2,0,0,8,0.05,1,0,0,107,0,1,0.00,0.05,0.68,206325,2.7
26,Álex,Moreno Lopera,16,2,1,1,27,0.80,3,8,0,613,0,8,0.14,0.94,7.04,106468,3.4
27,Cameron,Archer,17,4,0,4,27,0.11,1,11,2,593,0,6,3.52,3.63,14.41,433979,2.5
28,Leon,Bailey,2,3,2,0,21,1.31,1,8,0,500,0,7,0.44,1.75,6.03,215711,2.1
29,Ross,Barkley,2,3,1,0,15,0.20,1,3,1,271,0,1,0.75,0.95,1.84,88894,1.9
30,Enzo,Barrenechea,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491287,0.0
31,Emiliano,Buendía Stati,2,3,0,0,4,0.01,0,0,0,20,0,0,0.09,0.10,0.37,195546,1.0
32,Matty,Cash,2,2,0,0,13,0.16,1,4,0,425,0,6,0.03,0.19,5.07,199796,2.2
33,Leander,Dendoncker,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,151589,0.0
34,Moussa,Diaby,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,243557,0.0
35,Diego Carlos,Santos Silva,2,2,0,0,12,0.04,1,9,0,468,0,4,0.45,0.49,7.38,165659,2.0
36,Lucas,Digne,2,2,3,6,37,1.80,2,14,0,841,0,11,0.52,2.32,10.80,101188,3.4
37,Lewis,Dobbin,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461421,0.0
38,Jhon,Durán,2,4,0,5,31,0.18,0,9,4,278,0,0,2.38,2.56,5.77,476344,2.8
39,Joe,Gauci,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462492,0.0
40,Kortney,Hause,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,123354,0.0
41,Samuel,Iling-Junior,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,469247,0.0
42,Boubacar,Kamara,2,3,0,0,2,0.01,0,3,0,33,0,0,0.00,0.01,0.92,226944,0.7
43,Kaine,Kesler-Hayden,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,465390,0.0
44,Ezri,Konsa Ngoyo,2,2,0,1,20,0.33,0,16,1,821,0,10,0.35,0.68,11.29,199798,2.0
45,Ian,Maatsen,2,2,0,0,9,0.70,0,3,0,153,0,0,0.01,0.71,2.68,441302,1.0
46,Filip,Marschall,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462381,0.0
47,Emiliano,Martínez Romero,2,1,0,2,32,0.00,1,17,0,990,0,11,0.00,0.00,13.44,98980,2.9
48,John,McGinn,2,3,0,0,15,0.76,2,9,0,551,0,7,0.63,1.39,7.30,122806,1.7
49,Tyrone,Mings,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,149484,0.0
50,Kosta,Nedeljković,2,2,0,0,3,0.02,0,2,0,93,0,0,0.00,0.02,1.84,578545,1.0
51,Robin,Olsen,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,111782,0.0
52,Pau,Torres,2,2,0,0,19,0.23,1,17,0,990,0,11,0.17,0.40,13.44,244954,1.7
53,Jacob,Ramsey,2,3,2,0,22,1.17,0,14,0,632,0,7,0.69,1.86,9.42,232653,2.2
54,Morgan,Rogers,2,3,2,5,45,1.47,1,12,3,899,0,11,2.51,3.98,10.99,244850,4.1
55,Viljami,Sinisalo,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,248164,0.0
56,Lino,da Cruz Sousa,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514315,0.0
57,Youri,Tielemans,2,3,3,5,34,2.41,1,16,0,973,0,11,0.54,2.95,13.23,166989,3.1
58,Ollie,Watkins,2,4,2,7,55,0.57,4,12,5,840,0,11,5.14,5.71,10.13,178301,5.0
59,Max,Aarons,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232980,0.0
60,Tyler,Adams,3,3,0,0,3,0.03,0,4,0,99,0,1,0.03,0.06,1.92,200785,1.0
61,Jaidon,Anthony,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,444180,0.0
62,David,Brooks,3,3,0,0,4,0.27,0,1,0,44,0,0,0.10,0.37,1.39,111317,1.0
63,Ryan,Christie,3,3,0,0,23,0.82,3,11,1,700,0,9,0.47,1.29,9.56,158499,2.1
64,Lewis,Cook,3,3,3,2,36,1.69,1,15,1,983,0,11,0.46,2.15,14.38,155408,3.3
65,Enes,Ünal,3,4,0,0,8,0.08,1,2,0,148,0,1,0.72,0.80,3.43,168636,1.0
66,Romain,Faivre,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,441240,0.0
67,Hamed,Traorè,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,424044,0.0
68,James,Hill,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463981,0.0
69,Daniel,Jebbison,3,4,0,0,2,0.00,0,0,0,26,0,0,0.00,0.00,0.34,523700,1.0
70,Milos,Kerkez,3,2,2,3,30,0.85,1,15,0,927,0,11,0.18,1.03,14.35,544877,2.7
71,Justin,Kluivert,3,3,2,2,35,0.89,4,9,2,622,0,8,2.05,2.94,8.66,222683,3.2
72,Chris,Mepham,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,223911,0.0
73,Norberto,Murara Neto,1,1,0,0,7,0.00,0,2,0,180,0,2,0.00,0.00,2.91,69752,3.5
74,Dango,Ouattara,3,3,1,1,22,0.89,1,4,1,412,0,4,1.66,2.55,5.90,533463,2.8
75,Alex,Paulsen,3,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,495145,0.0
76,Philip,Billing,3,3,0,0,2,0.09,0,1,0,21,0,0,0.00,0.09,0.58,168991,1.0
77,Alex,Scott,3,3,0,0,11,0.17,1,3,0,258,0,2,0.12,0.29,3.67,503139,1.4
78,Antoine,Semenyo,3,3,1,4,46,1.77,1,15,4,967,0,11,3.61,5.38,14.23,437730,4.2
79,Marcos,Senesi,3,2,0,3,19,0.42,1,11,0,772,0,9,0.81,1.23,10.67,221466,2.1
80,Luis,Sinisterra,3,3,1,2,19,0.91,0,3,1,203,0,1,1.09,2.00,3.48,224995,2.4
81,Adam,Smith,3,2,0,0,18,0.05,1,8,0,604,0,6,0.60,0.65,7.68,54469,1.6
82,Dominic,Solanke-Mitchell,18,4,2,3,43,0.61,1,11,4,797,0,9,5.45,6.06,10.54,154566,4.8
83,Marcus,Tavernier,3,3,2,2,33,1.49,2,11,1,801,0,9,2.52,4.01,10.94,201658,3.0
84,Mark,Travers,3,1,0,1,10,0.01,0,3,0,270,0,3,0.00,0.01,4.15,229600,3.3
85,Illia,Zabarnyi,3,2,0,0,22,0.12,1,15,0,990,0,11,0.30,0.42,14.64,477580,2.0
86,Kristoffer,Ajer,4,2,0,0,7,0.10,0,12,0,637,0,8,0.28,0.38,11.94,191866,0.9
87,Ethan,Brierley,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,494041,0.0
88,Nathan,Collins,4,2,3,1,29,0.63,0,22,1,990,0,11,1.73,2.36,19.73,432830,2.6
89,Mikkel,Damsgaard,4,3,3,4,40,1.86,2,14,1,789,0,9,0.84,2.70,14.90,440089,3.6
90,Josh,Dasilva,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,183656,0.0
